/usr/lib64/gstreamer-1.0/libgstivtc.so,-,
/usr/lib64/gstreamer-1.0/libgstjack.so,-,
/usr/lib64/gstreamer-1.0/libgstjpeg.so,-,
/usr/lib64/gstreamer-1.0/libgstjpegformat.so,-,
/usr/lib64/gstreamer-1.0/libgstlame.so,MP3 encoder,
/usr/lib64/gstreamer-1.0/libgstlevel.so,-,
/usr/lib64/gstreamer-1.0/libgstlibvisual.so,-,
/usr/lib64/gstreamer-1.0/libgstliveadder.so,-,
/usr/lib64/gstreamer-1.0/libgstmad.so,MP3,
/usr/lib64/gstreamer-1.0/libgstmatroska.so,MKV,
/usr/lib64/gstreamer-1.0/libgstmencoder.so,-,
/usr/lib64/gstreamer-1.0/libgstmfc.so,MFC,
/usr/lib64/gstreamer-1.0/libgstmidi.so,MIDI,
/usr/lib64/gstreamer-1.0/libgstmimic.so,Mimic,
/usr/lib64/gstreamer-1.0/libgstmms.so,MMS,
/usr/lib64/gstreamer-1.0/libgstmodplug.so,-,
/usr/lib64/gstreamer-1.0/libgstmpeg2dec.so,MPEG-2,
/usr/lib64/gstreamer-1.0/libgstmpeg2enc.so,MPEG-2 encoder,
/usr/lib64/gstreamer-1.0/libgstmpegpsdemux.so,-,
/usr/lib64/gstreamer-1.0/libgstmpegpsmux.so,-,
/usr/lib64/gstreamer-1.0/libgstmpegtsdemux.so,-,
/usr/lib64/gstreamer-1.0/libgstmpegtsmux.so,-,
/usr/lib64/gstreamer-1.0/libgstmpg123.so,MP3,
/usr/lib64/gstreamer-1.0/libgstmplex.so,-,
/usr/lib64/gstreamer-1.0/libgstmulaw.so,-,
/usr/lib64/gstreamer-1.0/libgstmultifile.so,-,
/usr/lib64/gstreamer-1.0/libgstmultipart.so,-,
/usr/lib64/gstreamer-1.0/libgstmxf.so,MXF,
/usr/lib64/gstreamer-1.0/libgstnavigationtest.so,-,
/usr/lib64/gstreamer-1.0/libgstogg.so,Ogg,
/usr/lib64/gstreamer-1.0/libgstopus.so,Opus,
/usr/lib64/gstreamer-1.0/libgstoss4audio.so,-,
/usr/lib64/gstreamer-1.0/libgstossaudio.so,-,
/usr/lib64/gstreamer-1.0/libgstpango.so,-,
/usr/lib64/gstreamer-1.0/libgstpcapparse.so,-,
/usr/lib64/gstreamer-1.0/libgstplayback.so,-,
/usr/lib64/gstreamer-1.0/libgstpng.so,-,
/usr/lib64/gstreamer-1.0/libgstpnm.so,-,
/usr/lib64/gstreamer-1.0/libgstpulse.so,-,Installed by default
/usr/lib64/gstreamer-1.0/libgstrawparse.so,-,
/usr/lib64/gstreamer-1.0/libgstremovesilence.so,-,
/usr/lib64/gstreamer-1.0/libgstreplaygain.so,-,
/usr/lib64/gstreamer-1.0/libgstresindvd.so,-,
/usr/lib64/gstreamer-1.0/libgstrfbsrc.so,-,
/usr/lib64/gstreamer-1.0/libgstrmdemux.so,RealMedia,
/usr/lib64/gstreamer-1.0/libgstrsvg.so,-,
/usr/lib64/gstreamer-1.0/libgstrtmp.so,-,
/usr/lib64/gstreamer-1.0/libgstrtp.so,-,
/usr/lib64/gstreamer-1.0/libgstrtpmanager.so,-,
/usr/lib64/gstreamer-1.0/libgstrtsp.so,-,
/usr/lib64/gstreamer-1.0/libgstschro.so,Dirac,
/usr/lib64/gstreamer-1.0/libgstsdpelem.so,-,
/usr/lib64/gstreamer-1.0/libgstsegmentclip.so,-,
/usr/lib64/gstreamer-1.0/libgstshapewipe.so,-,
/usr/lib64/gstreamer-1.0/libgstshm.so,-,
/usr/lib64/gstreamer-1.0/libgstshout2.so,-,
/usr/lib64/gstreamer-1.0/libgstsiren.so,Siren,https://en.wikipedia.org/wiki/Siren_%28codec%29
/usr/lib64/gstreamer-1.0/libgstsmooth.so,-,
/usr/lib64/gstreamer-1.0/libgstsmoothstreaming.so,-,
/usr/lib64/gstreamer-1.0/libgstsmpte.so,-,
/usr/lib64/gstreamer-1.0/libgstsoundtouch.so,-,
/usr/lib64/gstreamer-1.0/libgstsouphttpsrc.so,-,
/usr/lib64/gstreamer-1.0/libgstspectrum.so,-,
/usr/lib64/gstreamer-1.0/libgstspeed.so,-,
