AppStream ID,Parent,Classifier,Name,Summary
DejaVuSerifCondensed.ttf,DejaVu,Serif Condensed,^,^
Delphine.ttf,,,,A handwriting font
Denemo.ttf,,,,Denemo Denemo fonts
phranzysko_-_Digna_s_Handwriting.ttf,,Cursive,,Phranzysko's sister handwriting
Domestic_Manners.ttf,,Cursive,,A handwriting font by Dustin Norlander
DoulosSILR.ttf,,,,Doulos SIL fonts
DroidKufi-Regular.ttf,Droid,Sans,Droid,A humanist sans serif font
DroidNaskh-Regular.ttf,Droid,Serif,^,^
DroidSans.ttf,Droid,Sans,^,^
DroidSansDevanagari-Regular.ttf,Droid,Sans,^,^
DroidSansFallback.ttf,Droid,Sans,^,^
DroidSansHebrew-Regular.ttf,Droid,Sans,^,^
DroidSansMono.ttf,Droid,Sans Mono,^,^
DroidSansTamil-Regular.ttf,Droid,Sans,^,^
DroidSerif-Regular.ttf,Droid,Serif,^,^
Dustismo.ttf,Dustismo,Sans,,General purpose fonts
Dustismo_Roman.ttf,Dustismo,Serif,Dustismo,^
Dyuthi.ttf,,,,A font for Malayalam script
ec_cour.ttf,Ecolier court,Cursive,Écolier court,Schoolchildren cursive fonts
ecl_cour.ttf,Ecolier court,Cursive with lines,^,^
Edrip-Regular.ttf,,Sans,,A decorative contrast sans-serif font
Essays1743.ttf,,,Essays 1743,Thibault.org Montaigne's Essays font font
jiret.ttf,Ethiopic,,Ethiopic,A font for the Geʼez (Ethiopic) script
fantuwua.ttf,Ethiopic,,^,^
hiwua.ttf,Ethiopic,,^,^
tint.ttf,Ethiopic,,^,^
washrab.ttf,Ethiopic,,^,^
washrasb.ttf,Ethiopic,,^,^
wookianos.ttf,Ethiopic,,^,^
yebse.ttf,Ethiopic,,^,^
goffer.ttf,Ethiopic,,^,^
yigezubisratgothic.ttf,Ethiopic,,^,^
zelan.ttf,Ethiopic,,^,^
FrankRuehlCLM-Medium.ttf,,,,A set of fonts for Hebrew from Culmus project
FreeMono.ttf,Freefont,Mono,GNU Freefont,GNU Freefont
FreeSans.ttf,Freefont,Sans,^,^
FreeSerif.ttf,Freefont,Serif,^,^
GFSAmbrosia.otf,,,,GFS Ambrosia majuscule Greek font
GFSArtemisia.otf,,,,GFS Artemisia fonts
GFSBaskerville.otf,,,,GFS Baskerville Greek font
GFSBodoni.otf,,,,GFS Bodoni fonts
GFSDidot.otf,,,,GFS Didot fonts
GFSEustace.otf,,,,GFS Eustace majuscule Greek font
GFSFleischman.otf,,,,GFS Fleischman majuscule Greek font
GFSGaraldus.otf,,,,GFS Garaldus majuscule Greek font
GFSIgnacio.otf,,,,A majuscule Greek font
GFSJackson.otf,,,,GFS Jackson majuscule Greek font
GFSNeohellenic.otf,,,,A 20th century Greek font
GFSNicefore.otf,,,,GFS Nicefore majuscule Greek font
GFSPhilostratos.otf,,,,A revival of the “Griechische Antiqua” Greek font
GFSTheokritos.otf,,,,GFS Theokritos decorative font
Garuda-Oblique.ttf,,,,Thai Garuda fonts
GenI102.ttf,,,,SIL Gentium fonts
GenBasB.ttf,GentiumMain,,Gentium,SIL Gentium fonts
GenBkBasB.ttf,GentiumMain,Book,,SIL Gentium fonts
GenAI102.ttf,Gentium,Alternate,Gentium Alternate,SIL Gentium fonts
GilliusADF-Regular.otf,Gillius,Regular,,Gillius ADF sans-serif font family
GilliusADF-Cond.otf,Gillius,Condensed,,^
GilliusADFNo2-Regular.otf,Gillius,No2 Regular,Gillius,^
GilliusADFNo2-Cond.otf,Gillius,No2 Consensed,^,^
GoudyBookletter1911.otf,,Serif,,Clean serif font based on Kennerly Old Style
HadasimCLM-Regular.ttf,,,,A set of fonts for Hebrew from Culmus project
HanaMinA.ttf,,,Hanazono Mincho,Japanese Mincho font
Heuristica-Regular.ttf,,Serif,Heuristica,A serif latin & cyrillic font
asyropoulos_-_Icelandic.otf,,,,Icelandic Magical Staves
Imperator.ttf,,,,A gothic font
Inconsolata.ttf,,,,Inconsolata fonts
inkboy_ofl.ttf,,,,A clean and usable latin fantasy font
Isabella.ttf,,,,Thibault.org Isabella Breviary calligraphic font
Jomolhari-alpha3c-0605331.ttf,,,,Jomolhari a Bhutanese style font for Tibetan and Dzongkha
JosefinSansStd-Light.otf,,Sans,Josefin,"A latin font that is geometric, elegant, and kind of vintage"
junction.otf,,,,A humanist sans serif font
KacstArt.ttf,Kacst,Art,Kacst,Fonts for arabic from arabeyes project
KacstBook.ttf,Kacst,Book,^,^
KacstDecorative.ttf,Kacst,Decorative,^,^
KacstDigital.ttf,Kacst,Digital,^,^
KacstFarsi.ttf,Kacst,Farsi,^,^
KacstLetter.ttf,Kacst,Letter,^,^
KacstNaskh.ttf,Kacst,Naskh,^,^
KacstOffice.ttf,Kacst,Office,^,^
KacstOne.ttf,Kacst,One,^,^
KacstPoster.ttf,Kacst,Poster,^,^
KacstQurn.ttf,Kacst,Qurn,^,^
KacstScreen.ttf,Kacst,Screen,^,^
KacstTitle.ttf,Kacst,Title,^,^
KacstTitleL.ttf,Kacst,Title Light,^,^
Kalapi.ttf,,Sans,,A sans-serif font for Gujarati script
Kalyani.ttf,,,,A set of fonts for Malayalam script
KanjiStrokeOrders_v3.000.ttf,,,Kanji Stroke Orders,A font to view stroke order diagrams for Kanji and Kana
KeterYG-Medium.ttf,,,,A set of fonts for Hebrew from Culmus project
KhmerOS.ttf,,,,A set of Cambodian fonts
KhmerOS_battambang.ttf,Khmer OS,,Khmer OS,^
KhmerOS_bokor.ttf,Khmer OS,,^,^
KhmerOS_content.ttf,Khmer OS,,^,^
KhmerOS_fasthand.ttf,Khmer OS,,^,^
KhmerOS_freehand.ttf,Khmer OS,,^,^
KhmerOS_metalchrieng.ttf,Khmer OS,,^,^
KhmerOS_muol.ttf,Khmer OS,,^,^
KhmerOS_muollight.ttf,Khmer OS,,^,^
KhmerOS_muolpali.ttf,Khmer OS,,^,^
KhmerOS_siemreap.ttf,Khmer OS,,^,^
KhmerOS_sys.ttf,Khmer OS,,^,^
Kinnari-Oblique.ttf,,,,Thai Kinnari fonts
Laconic_Shadow.otf,,Shadow,,An artistic and minimal sans-serif font family
Laconic_Light.otf,,Light,,^
LateefRegOT.ttf,,Regular,,An Arabic script font
Lato-Reg.otf,Lato,Regular,,A classical sans-serif font family
Lato-Bla.otf,Lato,Black,,^
Lato-Hai.otf,Lato,Hairline,,^
Lato-Lig.otf,Lato,Light,,^
League Gothic.otf,,,,A sans serif gothic font
LettersLaughingDissectionandDestruction.ttf,,,,Letters Laughing is a decorative/LED sans-serif font
LiberationMono-Regular.ttf,Liberation,Mono,Liberation,Open source versions of several commecial fonts
LiberationSans-Regular.ttf,Liberation,Sans,^,^
LiberationSansNarrow-Regular.ttf,Liberation,Sans Narrow,^,^
LiberationSerif-Regular.ttf,Liberation,Serif,^,^
LinBiolinum_K.otf,Biolinum,Sans Keyboard,Biolinum,Sans-serif fonts from Linux Libertine Open fonts
LinBiolinum_R.otf,Biolinum,Sans,^,^
LinLibertine_DR.otf,Libertine,Display,Libertine,Linux Libertine Open fonts
LinLibertine_I.otf,Libertine,Initials,^,^
LinLibertine_M.otf,Libertine,Mono,^,^
LinLibertine_R.otf,Libertine,Regular,^,^
Lobster 1.4.otf,,Bold,Lobster,A bold condensed script fully loaded with ligatures and alternates
Lohit-Assamese.ttf,Lohit,,Lohit,A set of Indian language fonts
Lohit-Bengali.ttf,Lohit,,^,^
Lohit-Devanagari.ttf,Lohit,,^,^
Lohit-Gujarati.ttf,Lohit,,^,^
Lohit-Kannada.ttf,Lohit,,^,^
Lohit-Marathi.ttf,Lohit,,^,^
Lohit-Nepali.ttf,Lohit,,^,^
Lohit-Punjabi.ttf,Lohit,,^,^
